sr_no,date,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd
629,27-09-2017,Pitstop,Car repair and Servicing Platform,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,1000000.0
630,27-09-2017,GoChoppers,Luxury Helicopter Tourism Services portal,Luxury Helicopter Tourism Services portal,Gurgaon,"Rivergate Capital,",Seed Funding,324500.0
631,27-09-2017,MyUpchar,Local Language Health Information portal,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,300000.0
632,28-09-2017,Aadyah,Defense Tech & Aerospace startup,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,1000000.0
633,01-08-2017,TouchKin,Predictive Care Platform,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,1300000.0
634,02-08-2017,Ethinos,Digital Marketing Agency,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private Equity,5925000.0
635,02-08-2017,Leverage Edu,Online platform for Higher Education Services,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,324500.0
636,02-08-2017,Zepo,DIY Ecommerce platform,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,500000.0
637,02-08-2017,Click2Clinic,healthcare service aggregator,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000.0
638,03-08-2017,SpeedBox,On-Demand Logistics Service provider,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000.0
639,03-08-2017,Skill Connect,Recruitment Portal,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,Seed Funding,324500.0
640,03-08-2017,Chai Point,Tea Delivery Portal & offline stores,Tea Delivery Portal & offline stores,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,5925000.0
641,03-08-2017,Zoctr,Health Products & Services Aggregator,Health Products & Services Aggregator,Mumbai,SIDBI,Private Equity,5925000.0
642,04-08-2017,Lime Tray,Restaurant Management Solutions,Restaurant Management Solutions,New Delhi,JSW Ventures,Private Equity,5925000.0
643,04-08-2017,CoutLoot,Fashion Resale Marketplace,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,324500.0
644,04-08-2017,Box My Space,Warehouse Aggregator,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,324500.0
645,05-08-2017,Curatio,Skincare Speciality services,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,5925000.0
646,08-08-2017,New Castle Technologies,Hospital Management Software,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,243000.0
647,08-08-2017,My Forex Eye,foreign exchange services,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,220000.0
648,09-08-2017,TruxApp,Mobile based Logistics Service,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,3100000.0
649,09-08-2017,CroFarm,Agriculture Supply Chain solutions,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,783000.0
650,09-08-2017,DoodhWala,Online milk delivery,Online milk delivery,Bangalore,Tom Varkey,Seed Funding,324500.0
651,10-08-2017,Stayabode,Co-Living space aggregator,Co-Living space aggregator,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,5925000.0
652,11-08-2017,Flipkart,Online Marketplace,Online Marketplace,Bangalore,Softbank,Private Equity,2500000000.0
653,11-08-2017,Moong Labs,Mobile games developer,Mobile games developer,New Delhi,Nazara Games,Private Equity,5925000.0
654,11-08-2017,Ola Cabs,App based cab aggregation Service,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,36000000.0
655,14-08-2017,Sports Flashes,Sports Content Mobile App,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,5925000.0
656,14-08-2017,Digilend,Personal Loans & EMI solutions platform,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,312000.0
657,15-08-2017,KNAB Finance,Unsecured Small Business Loans,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,385000.0
658,17-08-2017,Get Simpl,Payment Solution Mobile app,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,324500.0
659,20-08-2017,Rootefy,Building material online store,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,187000.0
660,21-08-2017,Uniphore,speech recognition startup,speech recognition startup,Chennai,IDG Ventures,Private Equity,6800000.0
661,21-08-2017,Cerebroz,E-Tech platform,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,734000.0
662,22-08-2017,Flochat,instant messaging platform,instant messaging platform,Mumbai,"iSquare Global,",Seed Funding,324500.0
663,22-08-2017,EasyGov,Govt service application portal,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,324500.0
664,23-08-2017,Milk Basket,Online Grocery platform,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,324500.0
665,23-08-2017,Dhruva,Cloud data protection and management solutions,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,80000000.0
666,23-08-2017,Bombay Shaving Company,Men Grooming product etailer,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,2300000.0
667,23-08-2017,Awign,Operations and manpower outsourcing,Operations and manpower outsourcing,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,324500.0
668,23-08-2017,Indiez,Software & Mobile app development platform,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,500000.0
669,24-08-2017,Ezetap,mPOS solutions provider,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,16000000.0
670,25-08-2017,Ink Monk,Online printing marketplace,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,750000.0
671,25-08-2017,Medinfi,Online Doctor Discovery Platform,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,125000.0
672,28-08-2017,Mobikon,Restaurant & Hotel CRM platform,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7000000.0
673,29-08-2017,CureFit,End to End health and wellness platform.,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,25000000.0
674,29-08-2017,Doxper,Healthtech IoT platform,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,750000.0
675,29-08-2017,Fieldassist,SAAS based sales force automation services,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,4650000.0
676,30-08-2017,Treebo,Budget Hotel Aggregator platform,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,34000000.0
677,30-08-2017,MedGenome,Genomics Research and Diagnostics Solutions,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,30000000.0
678,01-07-2017,Billion Loans,Peer to Peer Lending platform,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000.0
679,03-07-2017,Ecolibriumenergy,Energy management solutions provider,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,2600000.0
680,04-07-2017,Droom,Online marketplace for automobiles,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000.0
681,05-07-2017,Jumbotail,online marketplace for food and grocery,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000.0
682,05-07-2017,Moglix,B2B marketplace for Industrial products,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000.0
683,05-07-2017,Timesaverz,Hyperlocal home services provider,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,1000000.0
684,06-07-2017,Minjar,Cloud Solutions provider,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,324500.0
685,06-07-2017,MyCity4kids,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurgaon,Unknown,Seed Funding,324500.0
686,07-07-2017,Clip App,Digital Media Video platform,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,1000000.0
687,07-07-2017,Upwardly.in,MF investment platform,MF investment platform,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,324500.0
688,10-07-2017,Autorox.co,Workshop Management Software Platform,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,3000000.0
689,11-07-2017,Fabogo,Salon & Spa Aggregation & Discovery platform,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000.0
690,11-07-2017,Flickstree,Video Content Discovery Platform,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000.0
691,11-07-2017,Design Cafe,Online Interior Design platform,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,324500.0
692,12-07-2017,Innoviti,Digital payments solutions,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000.0
693,12-07-2017,VDeliver,Door Step Delivery platform,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,5925000.0
694,12-07-2017,Bottr.me,Chatbot creation tool,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,324500.0
695,12-07-2017,Arcatron,Next Gen Mobility device manufacturer,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Funding,324500.0
696,14-07-2017,QwikSpec,Construction site operations and analytics platform,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,540000.0
697,14-07-2017,Chumbak,Designer consumer products Marketplace,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1700000.0
698,17-07-2017,Increff,Sales Solutions for Fashion Brands,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2000000.0
699,17-07-2017,Vayana,Enterprise Banking Solutions,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4000000.0
